,question,4,1,3,5,2
b,"True or False: Phoenix, 1Z currently has both a dry climate and a rainy climate.",0,0,0,0,1
b,True or False: 4ost people are excited to learn they caught the flu on vacation.,0,0,0,0,0
b,"True or False: To see what is on the other side of a glass window, you usually have to open it.",0,0,1,1,1
b,True or False: 1 feeling of love is the opposite of a feeling of hate.,0,0,0,0,0
b,True or False: People don't like things they find disgusting.,0,0,0,0,0
b,True or False: Wearing gloves will help keep your feet from getting cold.,0,0,1,0,1
b,"True or False: In a typical house, there are no rooms that have been designed for a particular purpose.",0,0,1,0,0
b,True or False: Sue couldn't afford the free gift because it was too expensive.,0,0,0,0,0
b,"True or False: When changing a tire, the tire is removed after the automobile is raised with a jack.",0,0,1,0,0
b,True or False: Winter coats are for summer.,0,0,1,1,0
b,True or False: No utensil is a spoon.,0,0,1,1,0
b,True or False: Blind people cannot drive.,0,0,1,0,1
b,True or False: Kitchen tools are intended to be used in preparing food or drinks.,0,0,1,1,0
b,True or False: You don't expect ice rinks to be slippery.,0,0,1,1,1
b,True or False: Every popsicle is frozen food.,0,1,1,1,1
b,"True or False: If 1 creates B, then 1 must exist before B.",0,0,0,0,0
b,True or False: Styrofoam peanuts are too light to be used as packaging material.,1,0,1,1,1
b,True or False: 1nimal skin is frequently completely transparent.,0,0,1,1,1
b,True or False: 1t fast food restaurants you typically order at a counter or a drive-through.,0,0,1,0,0
b,True or False: No spicy thing is bland.,0,0,1,0,0
b,True or False: Being complimented is pleasant.,0,0,0,0,0
b,True or False: People who characteristically do something are more likely to do that sort of thing than other people.,0,0,0,0,0
b,True or False: You light a candle by lighting the wax.,0,0,1,1,1
b,True or False: 180 seconds is greater than 3 weeks.,0,0,0,0,0
b,True or False: Chickens are birds that often perch in trees.,0,0,1,0,1
b,True or False: 1 pocket watch is roughly the size of a golf ball.,0,0,1,1,1
b,True or False: Chewing gum is something humans can do.,0,0,0,0,1
b,"True or False: If you are capable of performing an activity, you have the skills required for performing that activity.",0,0,0,0,0
b,True or False: You expect to find a toilet in a kitchen.,0,0,1,0,0
b,True or False: Carpenters can hammer a nail.,0,0,0,1,1
b,True or False: Persons with advanced educations can write.,0,0,0,0,1
b,True or False: You're likely to find a spider web across the door of a busy business.,0,0,1,0,0
b,True or False: Walking can only be done by things that can move their legs.,0,0,1,0,1
b,True or False: Walking on two legs is a type of swimming.,0,0,1,0,0
b,True or False: There is no food that is liked by everyone.,0,0,1,0,0
b,True or False: Drinking vessels can contain liquid.,0,0,1,1,1
b,"True or False: If part of a written work contains some information, then the work itself contains that information.",0,0,1,0,0
b,True or False: You can ship a book in a box that is smaller than the book is.,0,0,1,0,0
b,True or False: Someone applying makeup typically wants to be able to see whatever they are putting makeup on.,0,0,0,0,0
b,True or False: 1ctions that are hostile do not express a feeling of good will.,0,0,0,0,0
b,"True or False: London, England is a city.",0,1,1,0,0
b,True or False: You're likely to find silverware in the drawer of a bedroom dresser.,0,0,1,1,0
b,True or False: Touching something that is too hot to touch causes pain.,0,0,1,0,1
b,True or False: The temperature of liquid water is below freezing.,0,0,1,1,1
b,True or False: 4ost TVs work without being plugged in.,0,1,1,0,1
b,True or False: Objects are not usually found in places where they or their parts would melt.,0,0,1,0,1
b,True or False: 1 bowling ball could be used as a volley ball in a pinch.,1,0,1,1,1
b,True or False: You can't read a book using a flashlight during a power outage.,0,0,1,0,1
b,"True or False: To graduate from a kind of school, you must attend that kind of school.",0,0,0,0,0
b,True or False: 1nimals don't live where they can't survive for very long.,0,0,0,1,0
b,True or False: Very few airplane pilots know what the controls in the cockpit do.,0,1,0,0,0
b,True or False: 1 professional singer who lost their vocal cords could still do their job.,0,0,0,0,1
b,True or False: Things that are toxic to humans are typically not ingredients in human food.,0,1,1,0,0
b,True or False: You can use grape soda to rub a stain out of white clothes.,0,0,1,0,1
b,True or False: Stoves cannot be used to generate heat.,0,0,1,0,1
b,"True or False: If a body part is necessary for some activity, things that lack that part can't do that activity.",0,0,1,1,0
b,"True or False: 4ost cotton balls are dense, heavy objects.",0,0,1,1,1
b,True or False: When a stove burner is off it is usually too hot to touch.,0,0,1,0,1
b,True or False: Sand castles are typically intended to house humans.,0,0,1,1,1
b,"True or False: If a person is wearing a clothing item over the part of the body used to make a facial expression, then others' view of that expression is blocked.",0,0,1,0,1
b,"True or False: To function as a paperweight, an object must be at least somewhat heavy.",0,0,1,1,1
b,True or False: 1quatic organisms don't have enough legs to ride a bicycle.,0,0,0,1,1
b,True or False: You can usually eat the materials used to construct buildings intended to shelter humans.,0,0,1,1,1
b,True or False: 1n observer who is outside an opaque container cannot see something that is completely inside that container.,1,0,1,1,1
b,True or False: 1dult animals are typically older than juvenile animals.,0,0,0,0,0
b,"True or False: If animals refuse to eat a kind of substance, they typically refuse to eat objects made of that kind of substance.",0,0,0,0,1
b,True or False: Being served things for free typically makes customers happy.,0,0,0,0,0
b,True or False: 4ilk is a type of dairy product.,0,0,1,1,0
b,True or False: There are no devices that are designed to keep things cool.,0,0,1,1,1
b,"True or False: 1lmost anything which is solid, flat, and lightweight can be used as a tray to carry items smaller than it.",0,0,1,0,1
b,"True or False: If 1 can be stored inside B, then 1 is smaller than B.",0,0,1,0,0
b,True or False: The sound a flying bee makes is the same as the sound a piano makes.,0,0,1,0,1
b,True or False: 1 dream is not a physical object.,0,0,1,1,0
b,True or False: Fish can breathe with gills.,0,0,1,1,1
b,True or False: It is common to find books in libraries.,0,1,1,0,0
b,True or False: Wood is never used in building homes.,0,0,1,0,0
b,"True or False: If you throw a very fragile object against something as tough as wood, it will probably be damaged.",0,1,1,1,1
b,True or False: The sound of a balloon popping never startles anyone.,0,0,0,0,1
b,True or False: Devices for bathing are typically not found outside rooms designed for bathing.,0,1,1,0,0
b,True or False: 4ost people like to injure themselves.,0,0,0,0,0
b,True or False: 1n open container can only hold a liquid if it is right side up.,1,1,1,1,1
b,True or False: Chocolate milk and regular milk are different colors.,0,0,1,0,0
b,True or False: 5ooms in buildings typically aren't underwater.,0,0,1,0,0
b,True or False: Clothing items usually aren't edible by humans.,0,0,1,0,0
